DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;350635 Bertioga;1.074;519;0;975;496;3;892;546;0;614;428;4;208;110;0;90;31;0;49;4;0;16;0;0;14;1;0;10;1;0;12;1;0;6;0;0
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350640 Bilac;6;1;0;24;5;0;9;1;0;5;1;1;13;1;0;5;3;1;6;1;0;14;2;0;9;0;0;6;2;0;42;26;0;311;243;3
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350650 Birigui;252;112;4;931;459;10;917;493;13;1009;782;17;706;566;15;324;247;10;246;177;1;308;187;2;335;219;2;345;227;3;365;280;1;557;292;8
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350660 Biritiba Mirim;48;9;2;221;37;17;559;353;53;883;645;59;730;479;126;143;82;41;19;3;8;14;2;2;10;4;1;2;2;0;4;4;0;9;2;1
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;350670 Boa Esperança do Sul;36;1;0;96;7;0;93;9;0;169;53;1;219;62;0;134;36;0;68;17;0;50;10;0;79;15;0;46;5;0;46;1;0;25;3;0
6;BAURU;15;BAURU;35064;JAU;350680 Bocaina;16;1;2;43;10;4;51;11;3;62;35;0;78;64;0;39;24;0;20;11;0;12;5;0;18;4;0;8;2;0;2;0;0;5;0;0
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350690 Bofete;32;2;0;86;8;0;162;50;1;621;140;1;410;143;0;138;38;0;47;3;0;45;2;0;57;2;0;40;2;0;46;1;1;36;1;0
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350700 Boituva;152;71;4;400;154;1;1372;833;3;2681;1584;2;2830;1773;4;893;418;0;124;56;0;61;12;0;75;4;0;47;5;0;37;4;0;34;5;1
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;350710 Bom Jesus dos Perdões;46;13;0;118;36;0;218;98;0;224;133;2;135;84;1;48;21;0;12;2;0;5;0;0;9;1;0;9;0;0;10;0;0;1;0;0
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350715 Bom Sucesso de Itararé;0;0;0;4;0;0;5;0;2;9;3;2;15;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9;MARÍLIA;13;ASSIS;35092;ASSIS;350720 Borá;3;0;0;3;0;0;20;7;1;39;23;0;45;26;0;14;6;0;1;0;0;0;0;0;1;0;0;0;0;0;8;0;0;1;0;0
6;BAURU;15;BAURU;35064;JAU;350730 Boracéia;84;82;1;186;180;5;135;134;1;47;43;1;28;27;0;6;6;0;3;3;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;350740 Borborema;57;38;0;140;61;0;117;79;0;110;80;0;141;111;0;75;50;0;17;14;0;16;13;0;6;4;0;5;2;0;1;0;0;12;5;1
6;BAURU;15;BAURU;35062;BAURU;350745 Borebi;4;0;0;15;0;2;22;5;0;61;15;11;38;9;6;20;4;3;13;3;0;14;0;0;3;0;0;0;0;0;0;0;0;3;0;0
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350750 Botucatu;1.565;771;32;3095;1557;18;6931;4426;30;8145;4815;86;6798;3745;106;1645;530;11;280;73;1;149;25;3;161;26;0;96;15;0;105;20;0;109;27;5
